time	V(clk)	V(d)	V(q)	V(r)
7.500100000000000e-008	0.000000e+000	1.800000e+000	8.324918e-006	1.800000e+000
7.500103853099810e-008	0.000000e+000	1.800000e+000	8.731980e-006	1.800000e+000
7.500111559299432e-008	0.000000e+000	1.800000e+000	9.489690e-006	1.800000e+000
7.500126971698676e-008	0.000000e+000	1.800000e+000	1.074969e-005	1.800000e+000
7.500157796497162e-008	0.000000e+000	1.800000e+000	1.237877e-005	1.800000e+000
7.500219446094136e-008	0.000000e+000	1.800000e+000	1.306436e-005	1.800000e+000
7.500342745288082e-008	0.000000e+000	1.800000e+000	9.259513e-006	1.800000e+000
7.500589343675975e-008	0.000000e+000	1.800000e+000	-1.067629e-006	1.800000e+000
7.501039390722190e-008	0.000000e+000	1.800000e+000	-9.221051e-006	1.800000e+000
7.501693972757682e-008	0.000000e+000	1.800000e+000	-4.767548e-006	1.800000e+000
7.502311004225020e-008	0.000000e+000	1.800000e+000	1.855570e-006	1.800000e+000
7.503545067159694e-008	0.000000e+000	1.800000e+000	3.757659e-006	1.800000e+000
7.505226839969960e-008	0.000000e+000	1.800000e+000	1.414060e-006	1.800000e+000
7.507820416504403e-008	0.000000e+000	1.800000e+000	6.108909e-006	1.800000e+000
7.510544659730338e-008	0.000000e+000	1.800000e+000	7.451578e-006	1.800000e+000
7.513154819519522e-008	0.000000e+000	1.800000e+000	-1.605684e-005	1.800000e+000
7.514813632093579e-008	0.000000e+000	1.800000e+000	-2.861506e-005	1.800000e+000
7.517126379546119e-008	0.000000e+000	1.800000e+000	-6.080222e-006	1.800000e+000
7.519458852771503e-008	0.000000e+000	1.800000e+000	1.477236e-005	1.800000e+000
7.521973548272286e-008	0.000000e+000	1.800000e+000	6.575529e-006	1.800000e+000
7.525489352652511e-008	0.000000e+000	1.800000e+000	-1.880966e-006	1.800000e+000
7.532497576146550e-008	0.000000e+000	1.800000e+000	4.610769e-007	1.800000e+000
7.542497576146550e-008	0.000000e+000	1.800000e+000	-5.095950e-008	1.800000e+000
7.552497576146549e-008	0.000000e+000	1.800000e+000	6.274797e-008	1.800000e+000
7.562497576146549e-008	0.000000e+000	1.800000e+000	5.807692e-009	1.800000e+000
7.572497576146548e-008	0.000000e+000	1.800000e+000	3.809646e-008	1.800000e+000
7.582497576146548e-008	0.000000e+000	1.800000e+000	2.164472e-008	1.800000e+000
7.592497576146547e-008	0.000000e+000	1.800000e+000	2.242280e-008	1.800000e+000
7.602497576146546e-008	0.000000e+000	1.800000e+000	2.532389e-008	1.800000e+000
7.622497576146545e-008	0.000000e+000	1.800000e+000	2.420134e-008	1.800000e+000
7.642497576146544e-008	0.000000e+000	1.800000e+000	2.149946e-008	1.800000e+000
7.672497576146542e-008	0.000000e+000	1.800000e+000	8.564072e-009	1.800000e+000
7.698211861860826e-008	0.000000e+000	1.800000e+000	9.281903e-009	1.800000e+000
7.723926147575110e-008	0.000000e+000	1.800000e+000	9.763439e-009	1.800000e+000
7.749640433289395e-008	0.000000e+000	1.800000e+000	1.000868e-008	1.800000e+000
7.775354719003680e-008	0.000000e+000	1.800000e+000	1.001763e-008	1.800000e+000
7.801069004717964e-008	0.000000e+000	1.800000e+000	9.790277e-009	1.800000e+000
7.826783290432248e-008	0.000000e+000	1.800000e+000	9.326633e-009	1.800000e+000
7.852497576146532e-008	0.000000e+000	1.800000e+000	8.626694e-009	1.800000e+000
7.999900000000089e-008	0.000000e+000	1.800000e+000	8.679055e-009	1.800000e+000
8.000000000000000e-008	0.000000e+000	1.800000e+000	8.679056e-009	1.800000e+000
8.000005790775061e-008	1.042340e-001	1.800000e+000	7.259833e-003	1.800000e+000
8.000017372325183e-008	3.127019e-001	1.800000e+000	2.152920e-002	1.800000e+000
8.000040535425427e-008	7.296377e-001	1.800000e+000	4.913910e-002	1.800000e+000
8.000061681624150e-008	1.110269e+000	1.800000e+000	7.285838e-002	1.800000e+000
8.000100000000000e-008	1.800000e+000	1.800000e+000	1.134272e-001	1.800000e+000
8.000103831837586e-008	1.800000e+000	1.800000e+000	1.122794e-001	1.800000e+000
8.000111495512757e-008	1.800000e+000	1.800000e+000	1.100065e-001	1.800000e+000
8.000126822863097e-008	1.800000e+000	1.800000e+000	1.055723e-001	1.800000e+000
8.000157477563778e-008	1.800000e+000	1.800000e+000	9.715445e-002	1.800000e+000
8.000218786965141e-008	1.800000e+000	1.800000e+000	8.202544e-002	1.800000e+000
8.000341405767867e-008	1.800000e+000	1.800000e+000	5.761271e-002	1.800000e+000
8.000586643373317e-008	1.800000e+000	1.800000e+000	2.534144e-002	1.800000e+000
8.001077118584218e-008	1.800000e+000	1.800000e+000	-5.153202e-003	1.800000e+000
8.001854514426430e-008	1.800000e+000	1.800000e+000	-1.667858e-002	1.800000e+000
8.002681387537552e-008	1.800000e+000	1.800000e+000	-1.301653e-002	1.800000e+000
8.004017581196996e-008	1.800000e+000	1.800000e+000	-4.635363e-003	1.800000e+000
8.005587982582861e-008	1.800000e+000	1.800000e+000	2.909422e-004	1.800000e+000
8.007048916713108e-008	1.800000e+000	1.800000e+000	1.167040e-003	1.800000e+000
8.008516575312376e-008	1.800000e+000	1.800000e+000	6.027704e-004	1.800000e+000
8.010230103773437e-008	1.800000e+000	1.800000e+000	1.836426e-004	1.800000e+000
8.013657160695558e-008	1.800000e+000	1.800000e+000	3.192127e-005	1.800000e+000
8.015509034166521e-008	1.800000e+000	1.800000e+000	5.816537e-006	1.800000e+000
8.017854060883080e-008	1.800000e+000	1.800000e+000	-1.369514e-005	1.800000e+000
8.019842977412951e-008	1.800000e+000	1.800000e+000	-1.119361e-005	1.800000e+000
8.022253865511312e-008	1.800000e+000	1.800000e+000	2.624838e-006	1.800000e+000
8.027045016346248e-008	1.800000e+000	1.800000e+000	1.377106e-006	1.800000e+000
8.036627318016120e-008	1.800000e+000	1.800000e+000	-6.043192e-008	1.800000e+000
8.046627318016119e-008	1.800000e+000	1.800000e+000	7.114897e-008	1.800000e+000
8.056627318016119e-008	1.800000e+000	1.800000e+000	-1.631145e-008	1.800000e+000
9.000000000000001e-008	1.800000e+000	1.800000e+000	8.676474e-009	1.800000e+000
9.000100000000001e-008	1.800000e+000	1.800000e+000	8.675869e-009	1.800000e+000
9.000107661492265e-008	1.662093e+000	1.800000e+000	-6.316865e-003	1.800000e+000
